,ADM_DR_NM,fid,rank
2342,관교동,3886,430
2296,관교동,3524,532
2299,관교동,3527,584
2265,관교동,3344,685
1411,도화1동,2606,12
1409,도화1동,2548,21
1329,도화1동,2062,59
1410,도화1동,2605,63
1393,도화1동,2428,83
1408,도화1동,2547,84
2999,도화2·3동,1698,68
3016,도화2·3동,1758,82
2905,도화2·3동,1400,177
2925,도화2·3동,1460,202
3082,도화2·3동,2000,243
3096,도화2·3동,2060,287
2983,도화2·3동,1640,324
3107,도화2·3동,2116,330
2437,문학동,2932,773
2467,문학동,3052,832
2470,문학동,3055,928
2383,문학동,2692,936
2619,숭의1·3동,864,22
2573,숭의1·3동,567,29
2588,숭의1·3동,685,32
2577,숭의1·3동,625,38
15,숭의2동,864,22
14,숭의2동,863,39
6,숭의2동,747,49
29,숭의2동,982,54
76,숭의4동,1161,42
74,숭의4동,1101,80
96,숭의4동,1340,91
105,숭의4동,1400,177
2723,용현1·4동,1477,65
2698,용현1·4동,1356,107
2735,용현1·4동,1537,117
2679,용현1·4동,1181,118
185,용현2동,391,3
201,용현2동,567,29
194,용현2동,507,35
192,용현2동,452,40
281,용현3동,1110,98
411,용현5동,391,3
395,용현5동,333,7
364,용현5동,216,11
568,용현5동,1121,13
414,용현5동,394,19
378,용현5동,274,23
396,용현5동,334,26
363,용현5동,215,27
429,용현5동,452,40
561,용현5동,1061,41
393,용현5동,331,46
560,용현5동,1060,47
1454,주안1동,2724,2
1450,주안1동,2668,4
1462,주안1동,2784,5
1461,주안1동,2783,8
1469,주안1동,2843,9
1470,주안1동,2844,10
1602,주안2동,2549,16
1611,주안2동,2609,75
1572,주안2동,2309,87
1620,주안2동,2669,121
1684,주안3동,2377,556
1699,주안3동,2442,583
1779,주안4동,3211,1
1769,주안4동,3149,6
1770,주안4동,3150,45
1910,주안5동,2781,24
1886,주안5동,2660,55
1898,주안5동,2720,76
1875,주안5동,2600,148
1992,주안6동,3149,6
1991,주안6동,3148,15
1975,주안6동,3028,18
1974,주안6동,3027,37
1982,주안6동,3087,44
1993,주안6동,3150,45
2079,주안7동,2560,343
2099,주안7동,2679,527
2104,주안7동,2684,560
2137,주안8동,2797,104
2195,주안8동,3098,147
2204,주안8동,3158,200
2186,주안8동,3038,212
2174,주안8동,2978,227
837,학익1동,1121,13
1153,학익1동,2511,52
1056,학익1동,1965,60
931,학익1동,1477,65
853,학익1동,1181,118
900,학익1동,1362,134
968,학익1동,1598,169
836,학익1동,1120,189
1264,학익2동,2511,52
1195,학익2동,1965,60
1194,학익2동,1964,129
1176,학익2동,1781,191
